Time,C1,Trigs,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,TimeB,C1B,TrigsB,C3B,C4B,C5B,C6B,C7B,C8B,C9B,C10B,C11B,C12B,C13B
7.86,572476,768,8698,-709146,-2297762,-7763689,-953869,-7117777,550193,-431979,317202,603968,339555,7.77,526677,770,176580.4867,176961.6017,177342.7167,177723.8317,178104.9467,178486.0617,178867.1767,179248.2917,179629.4067,180010.5217,180391.6367
7.86,585559,768,18110,-693101,-2258069,-2146912640,-920260,-7059398,548951,-412187,334628,603189,337637,7.78,552709,770,185257.8133,185638.9233,186020.0333,186401.1433,186782.2533,187163.3633,187544.4733,187925.5833,188306.6933,188687.8033,189068.9133
7.86,339995,768,-140787,-903131,-2516536,-7984969,-1178792,-7340616,491283,-639576,91341,486559,319562,7.78,579335,770,194133.1467,194514.2567,194895.3667,195276.4767,195657.5867,196038.6967,196419.8067,196800.9167,197182.0267,197563.1367,197944.2467
7.86,133636,768,-258004,-1069699,-2752466,-8241199,-1408740,-7612470,458325,-823755,-110538,415300,311759,7.78,328706,770,110590.1467,110971.2567,111352.3667,111733.4767,112114.5867,112495.6967,112876.8067,113257.9167,113639.0267,114020.1367,114401.2467
7.86,103135,768,-272935,-1097465,-2812999,-8312233,-1463698,-7690690,460252,-855550,-146171,416440,314732,7.78,124570,770,42544.81333,42925.92333,43307.03333,43688.14333,44069.25333,44450.36333,44831.47333,45212.58333,45593.69333,45974.80333,46355.91333
7.87,60842,768,-295348,-1134560,-2878537,-8387496,-1524676,-7775096,456234,-894436,-189007,408067,314341,7.78,103480,770,35514.81333,35895.92333,36277.03333,36658.14333,37039.25333,37420.36333,37801.47333,38182.58333,38563.69333,38944.80333,39325.91333
7.87,23412,768,-318175,-1168819,-2933816,-8454652,-1577814,-7849296,451202,-932907,-230488,398509,313720,7.79,60472,770,21178.80667,21559.91167,21941.01667,22322.12167,22703.22667,23084.33167,23465.43667,23846.54167,24227.64667,24608.75167,24989.85667
41.78,375166,768,-101891,-774795,-2386294,-7743481,-1233749,-7570643,482405,-612937,91299,174255,297188,41.7,140619,770,-258052,-980185,-2658296,-8034400,-1505321,-7873692,430722,-829664,-161412,66291,280306
41.78,536337,768,-3947,-636920,-2179135,-7516519,-1031876,-7321245,506210,-459519,258445,228728,302076,41.7,379799,770,-104922,-772969,-2389682,-7748433,-1234870,-7571743,481535,-600141,81542,174460,296977
41.78,543637,768,-4882,-631205,-2148093,-7474333,-1005641,-7269709,500544,-451249,265315,219468,298202,41.7,544377,770,-6084,-636437,-2178917,-7517042,-1031966,-7318739,506091,-441621,252176,231306,302320
41.78,572818,768,9810,-609630,-2102779,-7418103,-964361,-7205185,502126,-424967,291607,224282,297523,41.7,549049,770,-6752,-627972,-2145736,-7475862,-1007024,-7268055,500706,-433123,258729,220931,298542
41.79,565898,768,4830,-612556,-2088657,-7396124,-956691,-7178386,495831,-426979,286288,213621,294497,41.7,571302,770,2882,-608491,-2103028,-7420499,-967897,-7204354,502151,-409694,285092,222687,298117
41.79,328764,768,-146529,-815046,-2352582,-7672155,-1222586,-7470559,445719,-650138,47228,106996,278026,41.71,562988,770,-2320,-611364,-2089732,-7400184,-962015,-7178181,496175,-413796,280279,209925,294846
41.79,171341,768,-238874,-948201,-2551563,-7892510,-1418211,-7710101,422284,-798315,-112961,52421,273034,41.71,331297,770,-151974,-809182,-2350203,-7675163,-1223999,-7467816,446204,-635661,43247,104202,278177
41.79,152420,768,-247512,-968678,-2596567,-7948561,-1459268,-7777388,424687,-819608,-134739,55362,275570,41.71,177112,770,-244401,-942480,-2550584,-7894129,-1417494,-7708407,423186,-785306,-116861,53295,273327
41.79,115602,768,-270502,-999540,-2655961,-8021579,-1513855,-7858926,421114,-857307,-171464,46777,275635,41.71,154976,770,-252731,-960833,-2597458,-7953474,-1458868,-7775457,425073,-806865,-139465,56677,275498
41.79,132482,768,-255306,-982542,-2651721,-8027000,-1506228,-7872081,431391,-839805,-153759,67800,280547,41.71,124345,770,-274044,-989181,-2646582,-8012292,-1504047,-7841248,420877,-838903,-172168,47510,274979
